type,id,question,A,B,C,D,correct,image,acceptedAnswers,image1,answer1,image2,answer2,image3,answer3,image4,answer4
mcq,98,Odstęp między wierszami powinien wynosić co najmniej?,Jedną grubość litery,Dwie grubości litery,Trzy grubości litery,Cztery grubości litery,D,,,,,,,,,,
mcq,99,Małe litery występujące przed cyframi powinny być względem cyfr?,Tej samej wysokości,O 1/3 mniejsze,O 1/3 większe,Dwukrotnie mniejsze,B,,,,,,,,,,
mcq,100,Skróty pisane dużymi literami względem cyfr powinny być?,O 1/3 większe,O 1/3 mniejsze,Równe wysokości cyfr,Dwukrotnie większe,C,,,,,,,,,,
mcq,101,Na mapie w skali 1:50 000 napisy dla szczebla plutonu nie powinny przekraczać?,2 mm,3–4 mm,6 mm,8 mm,B,,,,,,,,,,
mcq,102,Na mapie w skali 1:50 000 napisy dla szczebla batalionu nie powinny przekraczać?,5 mm,6 mm,8 mm,10 mm,B,,,,,,,,,,
mcq,103,Dokumenty dowodzenia można podzielić na?,Operacyjne i taktyczne,"Dyrektywne, planistyczne, sprawozdawczo-informacyjne, pomocnicze",Jawne i niejawne,Strategiczne i logistyczne,B,,,,,,,,,,
mcq,104,Rozkaz bojowy składa się z ilu punktów?,Trzech,Czterech,Pięciu,Sześciu,C,,,,,,,,,,
mcq,105,Który z poniższych elementów wchodzi w skład rozkazu bojowego?,Sytuacja,Wnioski szkoleniowe,Sprawozdanie finansowe,Analiza meteorologiczna,A,,,,,,,,,,
mcq,106,ATO (Air Tasking Order) jest?,Planem logistycznym,Rozkazem bojowym dla pilotów,Dokumentem rozpoznawczym,Meldunkiem sytuacyjnym,B,,,,,,,,,,
mcq,107,Podstawowymi dokumentami dowodzenia są?,Regulaminy i instrukcje,"Rozkaz bojowy, zarządzenie bojowe, wstępne zarządzenie bojowe",Mapy i szkice,Meldunki medyczne,B,,,,,,,,,,
mcq,108,W czasie realizacji procesu dowodzenia organizuje się odprawy?,"Informacyjne, koordynacyjne, decyzyjne",Szkoleniowe i logistyczne,Wyłącznie operacyjne,Personalne i finansowe,A,,,,,,,,,,
mcq,109,Do dokumentów sprawozdawczo-informacyjnych nie zaliczamy?,Meldunków,Sprawozdań,Rozkazów,Informacji sytuacyjnych,C,,,,,,,,,,
mcq,110,Wyróżnia się trzy rodzaje załączników do dokumentów dowodzenia?,"Pisemne, graficzne, tabelaryczne","Jawne, tajne, ściśle tajne","Operacyjne, logistyczne, medyczne","Stałe, czasowe, doraźne",A,,,,,,,,,,
mcq,111,Zarządzenie przygotowawcze jest?,Dokumentem sprawozdawczym,Dokumentem rozkazodawczym o układzie jak rozkaz bojowy,Planem logistycznym,Meldunkiem sytuacyjnym,B,,,,,,,,,,
mcq,112,Wstępne zarządzenie bojowe wydaje się gdy?,Zadanie zostało już w pełni rozpoznane,Nie ma potrzeby planowania działań,"Istnieje duże prawdopodobieństwo wykonania zadania, lecz brak pełnych danych",Operacja została zakończona,C,,,,,,,,,,
mcq,113,Układ zarządzenia bojowego jest?,Skrócony do trzech punktów,Taki sam jak rozkazu bojowego,Dowolny – zależny od dowódcy,Ograniczony do punktów „Sytuacja” i „Zadanie”,B,,,,,,,,,,
mcq,114,Proces dowodzenia to?,Jednorazowe wydanie rozkazu bojowego,Cykl informacyjno-decyzyjny realizowany na wszystkich szczeblach dowodzenia,System meldunkowy w czasie pokoju,Plan logistyczny operacji,B,,,,,,,,,,
mcq,115,Jakie fazy realizowane są w ramach procesu dowodzenia?,"Planowanie, realizacja, zakończenie","Ustalenie położenia, planowanie, stawianie zadań, kontrola","Rozpoznanie, obrona, natarcie","Organizacja, szkolenie, mobilizacja",B,,,,,,,,,,
mcq,116,W ramach której fazy procesu dowodzenia podejmowana jest decyzja dowódcy?,Kontroli,Stawiania zadań,Planowania,Ustalenia położenia,C,,,,,,,,,,
mcq,117,W ramach której fazy procesu dowodzenia opracowywany jest rozkaz bojowy?,Kontroli,Planowania,Ustalenia położenia,Realizacji,B,,,,,,,,,,
mcq,118,Właściwa kolejność etapów planowania to?,Decyzja – Ocena sytuacji – Opracowanie rozkazu – Plan działania,Ocena sytuacji – Decyzja – Opracowanie planu działania – Opracowanie rozkazu bojowego,Opracowanie planu – Ocena sytuacji – Decyzja – Rozkaz,Ocena sytuacji – Opracowanie rozkazu – Decyzja – Plan działania,B,,,,,,,,,,
mcq,119,W ramach oceny sytuacji realizuje się?,Wyłącznie analizę przeciwnika,"Pozyskiwanie i wartościowanie informacji o wojskach własnych, przeciwniku i środowisku",Opracowanie planu logistycznego,Kontrolę wykonania zadania,B,,,,,,,,,,
mcq,120,Czynnością realizowaną w ramach oceny sytuacji nie jest?,Porównywanie informacji,Wartościowanie danych,Opracowanie rozkazu bojowego,Zobrazowanie informacji,C,,,,,,,,,,
mcq,121,Wstępne zarządzenie bojowe można wydać?,Przed rozpoczęciem oceny sytuacji,"Po podjęciu decyzji, przed opracowaniem planu działania",Po zakończeniu kontroli,Wyłącznie po wydaniu rozkazu bojowego,B,,,,,,,,,,
mcq,122,Ustalenie położenia ma na celu?,Wydanie rozkazu bojowego,Stworzenie przejrzystego obrazu sytuacji dla podjęcia decyzji,Kontrolę realizacji zadania,Sporządzenie meldunku logistycznego,B,,,,,,,,,,
mcq,123,Pierwszą czynnością fazy planowania (etap oceny sytuacji) jest?,Opracowanie rozkazu bojowego,Analiza zadania,Wydanie zarządzenia bojowego,Kontrola wykonania,B,,,,,,,,,,
mcq,124,Analiza zadania powinna określać?,Wyłącznie cel zadania,"Cel, zakres, zasoby, czas, ryzyko, warunki i reakcje przeciwnika",Jedynie zadania podległych jednostek,Tylko czas realizacji,B,,,,,,,,,,
mcq,125,Prawidłowe grupy czynników poddawane ocenie to?,"Ocena przeciwnika, wojsk własnych i środowiska",Ocena logistyki i finansów,Ocena morale i dyscypliny,Ocena uzbrojenia wyłącznie,A,,,,,,,,,,
mcq,126,W ramach oceny środowiska nie ocenia się?,Warunków terenowych,Warunków atmosferycznych,Ludności i czasu,Stanu uzbrojenia przeciwnika,D,,,,,,,,,,
mcq,127,Decyzja dowódcy to?,Meldunek sytuacyjny,Plan logistyczny,Postanowienie lub rozkaz określający sposób działania,Sprawozdanie z realizacji zadania,C,,,,,,,,,,
mcq,128,Ostatnią fazą procesu dowodzenia jest?,Planowanie,Ustalenie położenia,Stawianie zadań,Kontrola,D,,,,,,,,,,
mcq,129,Izolowany personel wojskowy to?,Żołnierze wykonujący zadania patrolowe poza rejonem odpowiedzialności,"Żołnierze, którzy znaleźli się w sytuacji odcięcia od własnych sił lub uwięzieni na terenie wroga",Każdy żołnierz przebywający poza jednostką wojskową,Żołnierze czasowo pozbawieni łączności radiowej,B,,,,,,,,,,
mcq,130,Czy SERE to?,System ewakuacji rannych z pola walki,"Program szkoleniowy obejmujący przetrwanie, unikanie, opór i ucieczkę",Rodzaj szkolenia strzeleckiego,Procedura reagowania kryzysowego,B,,,,,,,,,,
mcq,131,Kto podlega przeszkoleniu w zakresie SERE poziomu A?,Wyłącznie piloci i załogi statków powietrznych,Personel misji zagranicznych,Żołnierze Sił Zbrojnych,Tylko Wojska Specjalne,C,,,,,,,,,,
mcq,132,"Do jakiej litery w akronimie PLWF (Protection, Location, Water, Food) zaliczymy ogień?",P,L,W,F,D,,,,,,,,,,
mcq,133,Podstawowym narzędziem do rozpalania ognia w szkoleniu SERE jest?,Zapałki,Zapalniczka gazowa,Krzesiwo,Świeca,C,,,,,,,,,,
mcq,134,O czym mówi metoda „traffic lights” w szkoleniu SERE?,O sposobach sygnalizacji świetlnej w terenie zurbanizowanym,O zasadach postępowania w zależności od sytuacji,O metodach maskowania ognia,O systemie alarmowym w bazie,B,,,,,,,,,,
mcq,135,Jaka substancja nie przyda się do uzdatniania wody metodą chemiczną?,Chlor,Jod,Tabletki dezynfekcyjne,Benzyna,D,,,,,,,,,,
mcq,136,W szkoleniu SERE legenda ma na celu?,Przekazanie uczestnikom wiedzy i umiejętności poprzez realistyczne tło sytuacyjne,Sporządzenie raportu końcowego,Opracowanie planu logistycznego,Ustalenie struktury dowodzenia,A,,,,,,,,,,
mcq,137,Kto powinien przejść szkolenie poziomu B w zakresie SERE?,Wszyscy żołnierze bez wyjątku,Personel wyznaczony do misji poza granicami kraju,Wyłącznie dowódcy brygad,Tylko piloci,B,,,,,,,,,,
mcq,138,Szkoleniem SERE poziomu C powinni być objęci?,Żołnierze pełniący służbę dyżurną w jednostce,Personel administracyjny,"Personel wojskowy objęty wysokim ryzykiem izolacji (np. piloci, operatorzy WS)",Każdy żołnierz po szkoleniu podstawowym,C,,,,,,,,,,
mcq,139,Jak należy rozumieć „Międzynarodowe Prawo Konfliktów Zbrojnych”?,Zespół norm mających na celu ochronę ofiar konfliktów,Zbiór przepisów regulujących wyłącznie handel bronią,System dowodzenia podczas operacji międzynarodowych,Prawo dotyczące wyłącznie państw neutralnych,A,,,,,,,,,,
mcq,140,Komu przysługuje status kombatanta?,"Żołnierzom, partyzantom, powstańcom, pospolitemu ruszeniu",Wyłącznie żołnierzom zawodowym,Każdemu obywatelowi państwa będącego w stanie wojny,Personelowi medycznemu i duchownemu,A,,,,,,,,,,
mcq,141,Pod jaką władzą znajduje się jeniec wojenny?,Organizacji humanitarnej,Państwa nieprzyjacielskiego,Organizacji Narodów Zjednoczonych,Międzynarodowego Trybunału Karnego,B,,,,,,,,,,
mcq,142,Jakie organizacje humanitarne o zasięgu międzynarodowym mogą realizować zadania w trakcie działań zbrojnych?,"Czerwony Krzyż, Czerwony Półksiężyc, Czerwony Romb",NATO i ONZ,Unia Europejska,Amnesty International wyłącznie,A,,,,,,,,,,
mcq,143,Jakie obiekty cywilne podlegają ochronie podczas działań zbrojnych?,"Szkoły, przedszkola, budynki mieszkalne, muzea, kościoły, teatry, szpitale",Wyłącznie obiekty administracji państwowej,Tylko obiekty sakralne,Obiekty wykorzystywane do celów wojskowych,A,,,,,,,,,,
mcq,144,Jakie zakazy obowiązują walczące strony wobec państw neutralnych?,Zakaz atakowania obywateli i terytorium państwa neutralnego,Obowiązek wsparcia logistycznego,Prawo do swobodnego przemarszu wojsk,Możliwość zajęcia przestrzeni powietrznej,A,,,,,,,,,,
mcq,145,Jakie środki pola walki są zakazane podczas działań zbrojnych?,"Broń chemiczna, biologiczna, miny przeciwpiechotne, trucizny",Broń strzelecka standardowa,Artyleria konwencjonalna,Pojazdy opancerzone,A,,,,,,,,,,
mcq,146,Jakie metody walki są zakazane?,Wiarołomstwo i głodzenie ludności cywilnej,Obrona własnego terytorium,Użycie środków maskowania,Manewr taktyczny,A,,,,,,,,,,
mcq,147,Jakie osoby podlegają bezwzględnej ochronie w działaniach zbrojnych?,Wyłącznie personel wojskowy,"Osoby cywilne, personel medyczny i duchowny, osoby wyłączone z walki",Każda osoba przebywająca na terytorium państwa walczącego,Wyłącznie dziennikarze,B,,,,,,,,,,
mcq,148,"Czy zmuszanie ludności cywilnej do służby wojskowej przeciwnika, deportacje, rabunek i branie zakładników podczas działań zbrojnych to?",Działania odwetowe,Środki nadzwyczajne,Zbrodnia wojenna,Dozwolone działania okupacyjne,C,,,,,,,,,,
mcq,149,Strzelanie rozpoczyna się po podniesieniu jakiego koloru chorągwi na stanowisku dowodzenia kierownika strzelania?,Białej,Zielonej,Czerwonej,Niebieskiej,C,,,,,,,,,,
mcq,150,"Przy przekazywaniu broni sobie nawzajem, kategorycznie musimy najpierw?",Zabezpieczyć broń i odłożyć magazynek,Rozładować broń i skierować lufę w bezpiecznym kierunku,Oddać strzał kontrolny,Ustawić broń na ziemi,B,,,,,,,,,,
mcq,151,Reguła „BLOS” w szkoleniu strzeleckim oznacza?,Bezpieczne ładowanie i obsługę sprzętu,"Broń, lufa, otoczenie, spust","Broń, lokalizacja, ogień, strzał","Blokada, lufa, obsługa, strzelanie",B,,,,,,,,,,
mcq,152,Kto jest odpowiedzialny za przestrzeganie warunków bezpieczeństwa na strzelnicy?,Wyłącznie kierownik strzelania,Wyłącznie dowódca pododdziału,Każdy przebywający na terenie strzelnicy,Instruktor strzelania,C,,,,,,,,,,
mcq,153,Czy dozwolona jest zmiana chwytu ręki lub przekładanie z ręki do ręki granatu uzbrojonego przed rzutem?,"Tak, w uzasadnionych przypadkach","Tak, za zgodą instruktora","Nie, jest to zabronione","Tak, jeżeli granat jest zabezpieczony",C,,,,,,,,,,
mcq,154,W celu natychmiastowego przerwania ognia kierownik strzelania podaje komendę?,„Stop ogień”,„Przerwij strzelanie”,„Zakończ ogień”,„Rozładuj broń”,B,,,,,,,,,,
mcq,155,Kto określa sposób poruszania się po strzelnicy?,Najstarszy stopniem żołnierz,Dowódca plutonu,Kierownik zajęć / strzelania,Oficer dyżurny jednostki,C,,,,,,,,,,
mcq,156,Czy dopuszczalne jest przewożenie broni załadowanej?,"Tak, zawsze","Tak, w czasie ćwiczeń taktycznych","Nie, jest to zabronione, chyba że inne przepisy stanowią inaczej","Tak, za zgodą dowódcy",C,,,,,,,,,,
mcq,157,Pierwsze czynności podczas kontaktu z bronią to?,Założenie magazynka,Oddanie strzału kontrolnego,Sprawdzenie rozładowania broni i zastosowanie zasady BLOS,Ustawienie broni w stojaku,C,,,,,,,,,,
mcq,158,Czy konieczne jest podawanie warunków bezpieczeństwa przed strzelaniem? OCHRONA ŚRODOWISKA,Tylko podczas pierwszego strzelania,Nie,"Tak, zawsze",Wyłącznie przy strzelaniu nocnym,C,,,,,,,,,,
mcq,159,Co to jest środowisko naturalne?,Zbiór zasobów mineralnych,Całokształt ożywionych i nieożywionych składników przyrody powiązanych ze sobą,Wyłącznie obszary leśne,Tereny chronione prawem,B,,,,,,,,,,
mcq,160,Przeciętne dzienne zużycie wody w Polsce na jednego mieszkańca wynosi?,80 litrów,100 litrów,140 litrów,200 litrów,C,,,,,,,,,,
mcq,161,Śmiertelna dawka ropy naftowej dla ryb na litr wody wynosi około?,"0,1 g","0,5 g",1 g,5 g,C,,,,,,,,,,
mcq,162,Podczas poruszania się pojazdami na poligonach należy?,Jechać najkrótszą trasą,Omijać tereny chronione i wykorzystywać istniejące drogi,Poruszać się wyłącznie poza drogami,Przyspieszać dynamicznie w terenie,B,,,,,,,,,,
mcq,163,Nieczystości z sanitariatów polowych należy neutralizować poprzez?,Zalanie wodą,Zakopanie bez zabezpieczenia,Dezynfekcję wapnem i przykrycie ziemią,Spalenie,C,,,,,,,,,,
mcq,164,Podczas tankowania w warunkach polowych należy?,Tankować do pełna zawsze,Używać materiałów wiążących i neutralizujących paliwa,Tankować wyłącznie nocą,Ignorować podłoże,B,,,,,,,,,,
mcq,165,Czy można ograniczyć zanieczyszczenie powietrza w jednostce wojskowej?,Nie,"Tak, poprzez utrzymanie pojazdów w dobrym stanie i niespalanie odpadów",Tylko poprzez zakaz ruchu pojazdów,Wyłącznie poprzez montaż filtrów,B,,,,,,,,,,
mcq,166,Odpady w jednostce wojskowej należy gromadzić?,W dowolnym miejscu,W wyznaczonych i oznakowanych pojemnikach,Na placu ćwiczeń,W lesie,B,,,,,,,,,,
mcq,167,Emisja hałasu pojazdów wojskowych wynosi około?,60 dB,70 dB,80 dB,100 dB,C,,,,,,,,,,
mcq,168,Natężenie dźwięku stanowiące granicę bólu to około?,100 dB,110 dB,120 dB,140 dB,C,,,,,,,,,,
mcq,169,Jaką procedurę stosuje się po zatrzymaniu pojazdu w miejscu niebezpiecznym?,5xC,9-liner,5–25,BLOS,C,,,,,,,,,,
mcq,170,Jaka jest masa ogólna miny przeciwpancernej TM–62M?,5–6 kg,"6–6,5 kg","7–7,5 kg",8–9 kg,C,,,,,,,,,,
mcq,171,Jaką procedurę stosuje się w przypadku wykrycia lub podejrzenia podłożenia IED?,5–25,5xC,MEDEVAC,CASEVAC,B,,,,,,,,,,
mcq,172,Co to jest EOD?,System wykrywania min,Pododdział do zwalczania improwizowanych urządzeń wybuchowych,Rodzaj miny przeciwpancernej,Procedura rozpoznawcza,B,,,,,,,,,,
mcq,173,Materiały wybuchowe według klasyfikacji użytkowej to?,"Stałe, ciekłe, gazowe","Inicjujące, kruszące, miotające, mieszaniny pirotechniczne",Wojskowe i cywilne,Chemiczne i biologiczne,B,,,,,,,,,,
mcq,174,Procedura 5xC to?,"Confirm, Clear, Call, Cordon, Control, Check","Confirm, Clear, Call, Cordon & Control, Check","Check, Call, Confirm, Clear, Control","Clear, Call, Control, Confirm, Check",B,,,,,,,,,,
mcq,175,Czym są materiały wybuchowe?,Substancjami radioaktywnymi,Związkami chemicznymi lub ich mieszaninami zdolnymi do gwałtownej reakcji,Wyłącznie materiałami wojskowymi,Substancjami palnymi,B,,,,,,,,,,
mcq,176,Gdzie stosujemy materiały wybuchowe inicjujące?,W ładunkach burzących dużej mocy,"W zapalnikach, spłonkach i amunicji",W materiałach budowlanych,W granatach dymnych,B,,,,,,,,,,
mcq,177,Co to jest IED?,Standardowy ładunek wojskowy,Improwizowany ładunek wybuchowy,Mina przeciwpiechotna,Zapalnik elektryczny,B,,,,,,,,,,
mcq,178,Co oznacza „Control” w procedurze 5xC?,Potwierdź,Oczyść,Zadzwoń,Blokuj i kontroluj,D,,,,,,,,,,
mcq,179,Do „Zabójcy pola walki” nie należą?,Masywne krwotoki,Odma płucna,Oparzenia,Złamania kończyn,C,,,,,,,,,,
mcq,180,Do objawów obstrukcji dróg oddechowych nie należy?,Utrata przytomności,Bełkotanie,Bulgotanie,Niewyczuwalny oddech,B,,,,,,,,,,
mcq,181,Kiedy krwotok nie zagraża życiu?,Pulsujący wypływ krwi,Czynny krwotok ustał na skutek wejścia pacjenta we wstrząs,Brak przecieku przez opatrunek,Masywny krwotok niezaopatrzony,C,,,,,,,,,,
mcq,182,Do objawów odmy opłucnowej nie należy?,Spłycony oddech,Bladość/sinica,Prawidłowa akcja serca,Zapadnięte płuco,C,,,,,,,,,,
mcq,183,Do czynników determinujących jakość zabezpieczenia medycznego nie należy?,Standard udzielanej pomocy,Ciągłość opieki medycznej,Ciągłość działań operacyjnych,Szybkość udzielenia pomocy,C,,,,,,,,,,
mcq,184,Czego nie dotyczy zasada 10-1-2?,Pierwsze 10 minut dla ratowania życia,Dwie osoby ratujące,Resuscytacja urazowa do 1 godziny,Chirurgia ratunkowa do 2 godzin,B,,,,,,,,,,
mcq,185,Do rodzajów pomocy medycznej nie należy?,Pierwsza pomoc,Pomoc laryngologiczna,Kwalifikowana pomoc medyczna,Rozszerzona pierwsza pomoc,B,,,,,,,,,,
mcq,186,Do zapasów materiałowych nie należy?,Broń,Sprzęt medyczny,Środki opatrunkowe,Zestawy chirurgiczne,A,,,,,,,,,,
mcq,187,Działania w przypadku hipotermii nie obejmują?,Zapobiegania dalszemu spadkowi temperatury,Stopniowego ogrzewania,Szybkiego schłodzenia poszkodowanego,Umieszczenia w wodoodpornym śpiworze,C,,,,,,,,,,
mcq,188,Uraz czaszkowo-mózgowy nie jest prowadzony pod kątem?,Szerokości i reakcji źrenic,SBP ≤ 90 mmHg,Hipotermii,Pęknięcia podstawy czaszki,C,,,,,,,,,,
mcq,189,Do zasadniczych zadań zabezpieczenia inżynieryjnego nie należy?,Rozpoznanie inżynieryjne,Zakładanie zapór inżynieryjnych,Rozśrodkowanie wojsk,Budowa i utrzymanie dróg,C,,,,,,,,,,
mcq,190,Jakie powinno być maskowanie?,Jednorazowe i doraźne,"Aktywne, ciągłe, wiarygodne, różnorodne",Wyłącznie pasywne,Widoczne dla wojsk własnych,B,,,,,,,,,,
mcq,191,Jakie wyróżniamy sposoby ustawiania pól minowych?,"Ręczny, lotniczy, morski","Narzutowy, ręczny, mechaniczny",Tylko ręczny,Mechaniczny i zdalny,B,,,,,,,,,,
mcq,192,Mechaniczny sposób wykonania przejścia w polu minowym polega na?,Wykopywaniu min ręcznie,Wysadzaniu całego pola minowego,Trałowaniu przejść trałami naciskowymi i wykopowymi,Oznaczaniu min chorągiewkami,C,,,,,,,,,,
mcq,193,Ze względu na przeznaczenie miny dzielą się na?,Lądowe i morskie,Ofensywne i defensywne,"Przeciwpiechotne, przeciwpancerne, morskie, inżynieryjne i specjalne",Stałe i czasowe,C,,,,,,,,,,
mcq,194,Wojska inżynieryjne wchodzące w skład Wojsk Lądowych zorganizowane są w?,Wyłącznie bataliony,"Pułki, bataliony, kompanie i pododdziały specjalistyczne",Dywizje inżynieryjne,Wyłącznie kompanie,B,,,,,,,,,,
mcq,195,Do zadań bezpośredniego wsparcia inżynieryjnego należy?,Wyłącznie budowa schronów,"Rozpoznanie inżynieryjne, likwidacja przeszkód, budowa dróg i przepraw",Tylko zakładanie pól minowych,Dowodzenie operacyjne,B,,,,,,,,,,
mcq,196,Zapory inżynieryjne powinny?,Być widoczne i łatwe do usunięcia,"Być skuteczne, trwałe, dostosowane do terenu i zamaskowane",Być rozmieszczone przypadkowo,Być wyłącznie przeciwpiechotne,B,,,,,,,,,,
mcq,197,Na jaką komendę żołnierze zapalają lont prochowy zapalnika lontowego?,„Ogień!”,„Przygotować!”,„Wysadzać!”,„Zapalić!”,C,,,,,,,,,,
mcq,198,Jakie jest przeznaczenie lontu prochowego?,Do detonacji elektrycznej,Do przenoszenia ognia do spłonki pobudzającej i ładunku MW,Do oznaczania ładunku wybuchowego,Do inicjowania zapalników elektronicznych,B,,,,,,,,,,
mcq,199,"Jakie akty prawa regulują zasady wyróżniania żołnierzy i byłych żołnierzy oraz pododdziałów, oddziałów i instytucji wojskowych?",Wyłącznie regulaminy wewnętrzne,Ustawa oraz akty wykonawcze,Decyzje dowódcy jednostki,Kodeks karny,B,,,,,,,,,,
mcq,200,Jakie akty prawa regulują zasady i sposoby reagowania na naruszenia dyscypliny wojskowej oraz ponoszenia odpowiedzialności dyscyplinarnej?,Wyłącznie rozkazy dzienne,Ustawa oraz akty wykonawcze,Kodeks cywilny,Regulamin musztry,B,,,,,,,,,,
mcq,201,Kto jest zobowiązany do kształtowania dyscypliny wojskowej żołnierzy przez działania profilaktyczno-wychowawcze?,Każdy żołnierz indywidualnie,Przełożony,Oficer dyżurny,Szef sztabu,B,,,,,,,,,,
mcq,202,Kto jest zobowiązany do tworzenia warunków do wyróżniania i przestrzegania dyscypliny wojskowej oraz reagowania na jej naruszenia?,Dowódca drużyny wyłącznie,Przełożony,Minister Obrony Narodowej wyłącznie,Sąd wojskowy,B,,,,,,,,,,
mcq,203,Za jaki czyn żołnierz ponosi odpowiedzialność dyscyplinarną?,Za każde wykroczenie cywilne,Za popełnienie przewinienia dyscyplinarnego,Wyłącznie za przestępstwo wojskowe,Za niewykonanie polecenia kolegi,B,,,,,,,,,,
mcq,204,Co to jest dyscyplina wojskowa?,Wyłącznie wykonywanie rozkazów,Przestrzeganie przepisów prawa dotyczących służby wojskowej oraz wykonywanie rozkazów i decyzji służbowych,Zasady zachowania w koszarach,Regulamin musztry,B,,,,,,,,,,
mcq,205,Kto jest przełożonym dyscyplinarnym w Wojsku Polskim w stosunku do wszystkich żołnierzy?,Szef Sztabu Generalnego,Dowódca Generalny RSZ,Minister Obrony Narodowej i Naczelny Dowódca Sił Zbrojnych,Prezydent RP wyłącznie,C,,,,,,,,,,
mcq,206,Karami dyscyplinarnymi nie są?,Upomnienie,Nagana,Zobowiązanie do przeproszenia pokrzywdzonego,Ostrzeżenie o niepełnej przydatności do służby,C,,,,,,,,,,
mcq,207,Środkami dyscyplinarnymi nie są?,Zobowiązanie do przeproszenia pokrzywdzonego,Niedopuszczenie do wykonywania czynności służbowych,Zobowiązanie do wykonania dodatkowych zadań,Ostrzeżenie,B,,,,,,,,,,
